"iris_id","actifs_2006","chom_2006","empl_2006","ouvrier_2006","TP_2006","Int_2006","app_stage_2006","cdd_2006","rev_2006","HLM_2006","no_transp_2006","walk_2006","moto_2006","voit_2006","TC_2006","HH_2006","HH_moins2ans_2006","HH_2_4ans_2006","HH_5_9ans_2006","HH_plus10ans_2006","HH_with_park_2006","HH_with_voit_2006","HH_1voit_2006","HH_2voit_2006","pop_2006","tx_chom_2006","tx_empl_2006","tx_ouvr_2006","tx_TP_2006","tx_HLM_2006","tx_no_transp_2006","tx_walk_2006","tx_moto_2006","tx_voit_2006","tx_TC_2006","tx_HH_moins2ans_2006","tx_HH_2_4ans_2006","tx_HH_5_9ans_2006","tx_HH_plus10ans_2006","tx_HH_with_park_2006","tx_HH_with_voit_2006","tx_HH_1voit_2006","tx_HH_2voit_2006","tx_empl_prec_2006"
"060540000",2104.0,259.0,756.0,628,275.0,52,45,127.0,"15725",857,72.0,104.0,156,1332.0,192.0,1549.0,117.0,288.0,319.0,825.0,1058.0,1332.0,694.0,638.0,4453,12.30988593,35.93155894,29.84790875,13.07034221,19.2454525,3.422053232,4.942965779,7.414448669,63.30798479,9.125475285,5.560836502,13.68821293,15.16159696,39.21102662,50.2851711,63.30798479,32.98479087,30.32319392,10.64638783
"060550000",74.802169,3.836009,23.016052,7.672017,10.549024,0,0,1.918004,"18329",0,0.0,3.836009,0,46.032104,0.0,68.089154,6.713015,12.467028,11.508026,37.401085,32.606074,64.253145,34.524078,29.729067,156.317353,5.128205574,30.76923077,10.25640981,14.10256433,0,0.0,5.128205574,0,61.53846154,0.0,8.974358752,16.66666644,15.38461538,50.00000067,43.58974404,85.89743567,46.15384615,39.74358952,2.564102118
"060560000",58.0,3.0,12.0,16,7.0,0,0,10.0,"12335",22,8.0,8.0,0,32.0,0.0,60.0,8.0,10.0,11.0,31.0,25.0,53.0,35.0,18.0,128,5.172413793,20.68965517,27.5862069,12.06896552,17.1875,13.79310345,13.79310345,0,55.17241379,0.0,13.79310345,17.24137931,18.96551724,53.44827586,43.10344828,91.37931034,60.34482759,31.03448276,17.24137931
"060570000",942.865209,87.651087,323.203505,221.950088,127.271124,7.110179,20.81390034,74.758182,"16297",171.384119,28.207439,68.779379,32.212646,670.731312,36.450929,826.962218,102.198065,176.005984,173.320482,375.437687,455.615091,698.215282,408.515683,289.699598,2259,9.29624788,34.27886637,23.53995946,13.49833707,7.586725055,2.991672482,7.294720215,3.41646353,71.13756087,3.865974548,10.83909598,18.66714164,18.3823181,39.81880797,48.32239928,74.05250245,43.32705026,30.72545208,10.8904497
"060580000",238.535266,34.957754,78.140863,82.25354,26.7324,0,7.811674743,18.507046,"14344",20.563385,8.225354,20.563385,0,217.971881,0.0,217.971881,28.788739,46.267616,44.211278,98.704248,94.591571,206.662019,111.042279,95.61974,504.831101,14.6551722,32.75862069,34.48275862,11.20689634,4.073319762,3.448275862,8.620689655,0,91.37931034,0.0,12.06896552,19.39655162,18.53448286,41.37931034,39.65517241,86.63793093,46.55172414,40.08620679,11.03347156
"060590000",1364.0,100.0,493.0,141,155.0,14,12,83.0,"22054",127,72.0,52.0,149,942.0,93.0,1212.0,155.0,188.0,324.0,545.0,1005.0,1124.0,604.0,520.0,2932,7.331378299,36.14369501,10.3372434,11.36363636,4.331514325,5.278592375,3.812316716,10.92375367,69.06158358,6.818181818,11.36363636,13.7829912,23.75366569,39.95601173,73.68035191,82.40469208,44.28152493,38.12316716,7.991202346
"060600000",809.0,48.0,168.0,72,125.0,7,9,37.0,"24302",0,12.0,12.0,36,716.0,4.0,680.0,57.0,109.0,121.0,393.0,539.0,640.0,246.0,394.0,1789,5.933250927,20.76637824,8.899876391,15.45117429,0,1.483312732,1.483312732,4.449938195,88.50432633,0.494437577,7.045735476,13.47342398,14.95673671,48.57849197,66.62546354,79.11001236,30.407911,48.70210136,6.551297899
"060610000",34.776177,1.98721,3.97442,3.97442,5.96163,2.980815,1,1.98721,#N/A,0,0.0,0.0,3.97442,15.897681,0.0,41.731413,5.96163,9.936051,8.942446,16.891286,6.955235,33.782572,17.884891,15.897681,89.424456,5.714285386,11.42857077,11.42857077,17.14285616,0,0.0,0.0,11.42857077,45.71428596,0.0,17.14285616,28.5714298,25.71428711,48.57142865,19.99999885,97.14285731,51.42857135,45.71428596,17.16124518
"060620000",107.946942,10.088499,44.389397,36.318597,18.159299,1.00885,0,16.141599,"13324",22.194698,4.0354,16.141599,8.070799,72.637194,0.0,163.433687,32.283197,28.247798,24.212398,78.690294,41.362847,121.061991,88.778793,32.283197,299.628427,9.345794159,41.1214956,33.64485953,16.82243023,7.407407309,3.738318034,14.95327121,7.476635142,67.28971905,0.0,29.90654149,26.16822439,22.42990635,72.89719611,38.31775707,112.1495327,82.24299026,29.90654149,15.88785072
"060630000",20.3,5.8,0.0,0,1.933333,0,0,0.966667,#N/A,0,3.866667,0.0,15.466667,7.733333,0.0,37.7,5.8,3.866667,7.733333,20.3,5.8,29.966667,27.066667,2.9,58,28.57142857,0.0,0,9.523807882,0,19.04762069,0.0,76.19047783,38.09523645,0.0,28.57142857,19.04762069,38.09523645,100.0,28.57142857,147.6190493,133.333335,14.28571429,4.761906404
